gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FUN_029550,7117.14986,0.410152038,0.052597742,7.797902083,6.29E-15,3.67E-13
FUN_023451,102.7818688,2.814080684,0.361434048,7.785876015,6.92E-15,4.01E-13
FUN_009782,725.0454468,1.770345928,0.227464164,7.782966332,7.08E-15,4.09E-13
FUN_006408,702.3781533,0.549144573,0.070662049,7.771421615,7.76E-15,4.47E-13
FUN_001396,77.81528823,2.763186975,0.355643553,7.769540455,7.88E-15,4.52E-13
FUN_019921,816.658931,1.284996414,0.165415487,7.768295673,7.95E-15,4.55E-13
FUN_013841,159.2475576,2.109890689,0.271910984,7.759490469,8.53E-15,4.87E-13
FUN_020843,394.9807592,1.324028752,0.170670723,7.757796585,8.64E-15,4.92E-13
FUN_004089,911.6032336,1.909209983,0.246173969,7.755531548,8.80E-15,4.99E-13
FUN_014758,964.6214148,1.358049953,0.175125345,7.75473108,8.85E-15,5.01E-13
FUN_023737,1025.205617,2.130450835,0.274790693,7.752994886,8.98E-15,5.06E-13
FUN_005047,499.0591967,1.372297252,0.177274681,7.741078652,9.86E-15,5.54E-13
FUN_017914,490.1174646,-1.597515427,0.20661903,-7.731695509,1.06E-14,5.95E-13
FUN_010083,3630.965313,-2.045433757,0.264892104,-7.721761906,1.15E-14,6.41E-13
FUN_022886,569.2857347,0.643313777,0.083509522,7.70347809,1.32E-14,7.37E-13
FUN_029849,227.0522488,1.415348444,0.18387679,7.697265365,1.39E-14,7.72E-13
FUN_028371,36.66796407,2.946259264,0.382947526,7.693637017,1.43E-14,7.92E-13
FUN_020808,333.4285318,2.12516157,0.276283207,7.691967948,1.45E-14,8.00E-13
FUN_009549,204.3357323,-1.098426655,0.142875299,-7.688009494,1.49E-14,8.22E-13
FUN_005105,445.7845521,-0.880714441,0.114585028,-7.686121415,1.52E-14,8.32E-13
FUN_020428,209.7323259,-0.89674579,0.116785133,-7.678595446,1.61E-14,8.80E-13
FUN_030264,1193.042354,-8.537900522,1.112076491,-7.677439987,1.62E-14,8.85E-13
FUN_000047,263.3646619,2.638295311,0.34387826,7.672178262,1.69E-14,9.20E-13
FUN_023885,4350.288121,0.935215535,0.122026253,7.664051879,1.80E-14,9.77E-13
FUN_025767,1217.983348,1.073713032,0.140124571,7.662560703,1.82E-14,9.85E-13
FUN_028953,1933.037332,0.680129677,0.088823996,7.657048846,1.90E-14,1.03E-12
FUN_009391,2898.763955,1.339007567,0.175294946,7.638597693,2.20E-14,1.18E-12
FUN_011852,1969.066199,-5.173902654,0.677462385,-7.637180699,2.22E-14,1.19E-12
FUN_011410,1288.300113,-0.461923522,0.060511583,-7.633638096,2.28E-14,1.22E-12
FUN_017697,222.018375,-1.579392385,0.206911908,-7.633163301,2.29E-14,1.22E-12
FUN_026054,661.8447716,0.897553351,0.11768766,7.626571473,2.41E-14,1.28E-12
FUN_005072,293.6643636,-1.264089297,0.165783311,-7.624949041,2.44E-14,1.29E-12
FUN_018190,2028.193829,-2.064867537,0.270829268,-7.624240747,2.45E-14,1.30E-12
FUN_027956,857.3190908,-0.633589303,0.083244229,-7.611209898,2.72E-14,1.43E-12
FUN_025658,256.3984398,-1.255716393,0.165132967,-7.604274404,2.87E-14,1.51E-12
FUN_003236,744.0543968,2.028848776,0.266967035,7.599622827,2.97E-14,1.56E-12
FUN_025495,1063.991079,0.566527996,0.074615815,7.592599503,3.14E-14,1.63E-12
FUN_029366,4552.350156,-1.971715202,0.259692703,-7.59249367,3.14E-14,1.63E-12
FUN_002853,2311.994302,0.519384363,0.068414628,7.59171512,3.16E-14,1.64E-12
FUN_010049,251.3918532,-1.188773939,0.15664836,-7.588805519,3.23E-14,1.67E-12
FUN_010184,4342.873967,0.641770372,0.084660831,7.580487466,3.44E-14,1.78E-12
FUN_012327,12776.73996,-1.509815532,0.19930189,-7.575520409,3.58E-14,1.84E-12
FUN_005588,145.3209602,0.893382781,0.117942006,7.57476333,3.60E-14,1.85E-12
FUN_027042,16.2461056,7.811495147,1.031434657,7.573427063,3.64E-14,1.86E-12
FUN_028125,375.2908986,2.466353196,0.326047618,7.564395692,3.90E-14,1.99E-12
FUN_002622,951.054759,-1.329508947,0.175812888,-7.562067633,3.97E-14,2.02E-12
FUN_030462,230.9017417,3.699069439,0.489828703,7.5517613,4.29E-14,2.18E-12
FUN_014126,419.4994674,-1.023318597,0.135514806,-7.551341647,4.31E-14,2.18E-12
FUN_000066,22.27076935,-7.607994268,1.007647149,-7.550256331,4.34E-14,2.20E-12
FUN_016120,195.73266,1.250403448,0.165674399,7.547354686,4.44E-14,2.24E-12
FUN_025639,341.8923121,-0.788053741,0.104502709,-7.540988637,4.66E-14,2.34E-12
FUN_021263,4722.241984,0.653449396,0.086676601,7.538936594,4.74E-14,2.37E-12
FUN_012552,152.2106556,2.674009024,0.355062663,7.531090427,5.03E-14,2.52E-12
FUN_027475,211.9267298,-1.606569827,0.213656535,-7.519404103,5.50E-14,2.74E-12
FUN_008650,159.0165582,1.964898294,0.261354629,7.518130822,5.56E-14,2.76E-12
FUN_019547,17.35544663,7.909339483,1.052286375,7.516337448,5.63E-14,2.79E-12
FUN_017062,541.2910009,4.613161926,0.613896244,7.514562875,5.71E-14,2.82E-12
FUN_014366,811.6460232,-1.152059109,0.153309179,-7.514612757,5.71E-14,2.82E-12
FUN_010616,95.53151839,2.76412427,0.368109733,7.508968169,5.96E-14,2.93E-12
FUN_007875,1582.285366,1.053233336,0.140306381,7.506667386,6.07E-14,2.98E-12
FUN_029733,1390.423273,0.705777877,0.094122412,7.49851034,6.45E-14,3.16E-12
FUN_006061,424.0448108,-0.709277818,0.094665893,-7.492432556,6.76E-14,3.30E-12
FUN_012618,142.521118,3.091501696,0.412763772,7.489760255,6.90E-14,3.36E-12
FUN_003790,276.1614385,2.694046171,0.359726546,7.489150302,6.93E-14,3.37E-12
FUN_030324,56.85349285,4.154528821,0.555052682,7.484927033,7.16E-14,3.47E-12
FUN_007724,5946.220681,4.829439503,0.645352548,7.483412772,7.24E-14,3.50E-12
FUN_019294,464.138314,0.881334582,0.11794852,7.472197013,7.89E-14,3.80E-12
FUN_014021,28.5778124,22.62048926,3.027695886,7.471189352,7.95E-14,3.82E-12
FUN_021256,4989.113742,-1.749713717,0.234293909,-7.46802903,8.14E-14,3.90E-12
FUN_024761,1271.354617,1.553481099,0.208263043,7.45922596,8.70E-14,4.16E-12
FUN_026756,2486.809331,4.409073275,0.59240489,7.442668608,9.87E-14,4.70E-12
FUN_014673,3964.70688,0.971556565,0.130978321,7.417689851,1.19E-13,5.67E-12
FUN_012643,3678.343547,0.498805882,0.067251863,7.416982366,1.20E-13,5.68E-12
FUN_002633,353.2902155,1.555773014,0.20997065,7.4094785,1.27E-13,6.00E-12
FUN_021555,1302.854551,1.342482941,0.181219659,7.408042538,1.28E-13,6.05E-12
FUN_009851,234.5168237,1.744385171,0.235600394,7.403999387,1.32E-13,6.22E-12
FUN_013426,256.1382199,-1.241690298,0.167807089,-7.399510381,1.37E-13,6.42E-12
FUN_016318,483.3477698,0.814408367,0.110079098,7.398392439,1.38E-13,6.46E-12
FUN_029925,6727.631949,1.21533903,0.164308141,7.396706096,1.40E-13,6.51E-12
FUN_019237,225.4290428,1.733074248,0.234293773,7.397013697,1.39E-13,6.51E-12
