gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_004149,855,1303,1399,1306,2090,1576,1228,2148,1733,2177
FUN_004150,21,0,25,16,28,21,25,41,43,45
FUN_004151,383,632,290,447,842,616,489,833,816,899
FUN_004152,9,19,2,4,8,16,17,28,11,26
FUN_004153,164,206,177,155,302,210,168,221,225,307
FUN_004154,0,0,0,0,8,8,8,7,8,20
FUN_004155,0,0,0,0,0,0,0,0,0,0
FUN_004156,0,1,0,0,0,0,0,0,0,0
FUN_004157,476,841,376,435,1163,895,606,1195,1018,1584
FUN_004158,2003,2970,3368,2932,3794,3155,2779,3728,2944,3853
FUN_004159,92,137,60,101,311,400,163,421,430,524
FUN_004160,8,5,0,15,20,20,11,58,41,44
FUN_004161,64,114,57,55,357,311,113,597,317,534
FUN_004162,170,216,206,158,337,282,186,316,309,354
FUN_004163,186,204,185,191,324,262,158,335,217,343
FUN_004164,225,476,406,200,161,55,185,160,103,259
FUN_004165,723,848,727,593,2376,1843,1620,2257,1751,2366
FUN_004166,672,562,358,139,2896,2380,2780,2821,2606,3532
FUN_004167,1396,1443,1276,1094,714,604,1383,330,403,901
FUN_004168,621,915,601,641,1853,1042,715,2644,1416,2341
FUN_004169,72,111,132,136,227,139,114,269,129,167
FUN_004170,892,1084,996,831,1600,1284,962,1506,1313,1664
FUN_004171,5402,3783,1621,2667,908,1615,5858,147,171,1875
FUN_004172,3115,2157,1425,2895,1767,1562,4013,479,546,1825
FUN_004173,8,0,0,0,0,0,0,0,0,7
FUN_004174,30,44,34,52,89,76,56,94,65,78
FUN_004175,770,910,630,684,1064,744,664,920,817,1209
FUN_004176,1883,2016,2084,1606,2811,1744,1692,2240,2339,2535
FUN_004177,462,573,422,320,715,422,426,479,489,577
FUN_004178,32,31,59,26,56,49,19,72,41,81
FUN_004179,994,1090,879,1036,2648,1924,1555,2578,1891,2626
FUN_004180,0,0,0,0,0,0,0,0,0,0
FUN_004181,13,46,45,22,59,41,37,58,39,78
FUN_004182,0,0,0,0,0,0,0,0,0,0
FUN_004183,0,0,0,0,0,0,0,0,0,0
FUN_004184,0,0,0,0,0,0,0,0,0,0
FUN_004185,0,559,107,0,161,77,0,109,205,177
FUN_004186,0,0,1,0,0,0,0,6,0,0
FUN_004187,0,0,0,0,0,0,0,0,0,0
FUN_004188,0,0,0,0,0,0,0,0,0,0
FUN_004189,0,53,24,46,9,56,84,26,34,17
FUN_004190,980,1989,2775,2053,2466,1965,1440,1951,1770,2166
FUN_004191,19,41,47,27,30,34,33,17,21,40
FUN_004192,1,8,1,3,0,5,4,3,7,10
FUN_004193,26,35,11,15,53,36,39,84,52,70
FUN_004194,44,37,25,15,42,19,19,28,14,20
FUN_004195,2083,1057,1986,49,2317,2175,793,1484,1101,1030
FUN_004196,953,1038,712,417,950,666,463,331,256,465
FUN_004197,1277,1248,1254,206,3319,887,116,2214,1886,2370
FUN_004198,225,198,43,54,175,102,121,75,55,126
FUN_004199,47,51,23,36,62,47,38,32,33,53
FUN_004200,159,194,119,77,35,56,166,16,12,39
FUN_004201,117,224,214,166,229,160,160,234,183,324
FUN_004202,0,0,0,0,0,0,0,0,0,0
FUN_004203,0,0,0,0,0,0,0,0,0,0
FUN_004204,0,0,0,0,0,0,0,0,0,0
FUN_004205,88,1249,634,822,0,53,29,0,0,0
FUN_004206,0,0,0,0,0,0,0,0,0,0
FUN_004207,24,44,43,37,70,74,55,75,62,70
FUN_004208,52,132,79,90,176,197,158,232,137,212
FUN_004209,1461,1517,849,574,1181,990,897,908,843,1453
FUN_004210,24,17,40,30,74,59,23,54,41,60
FUN_004211,2661,3712,4061,3612,6731,5184,3465,5614,4109,6262
FUN_004212,0,0,0,0,0,0,0,0,0,0
FUN_004213,0,0,0,0,0,0,0,0,0,0
FUN_004214,0,0,0,0,0,0,0,0,0,0
FUN_004215,184,142,80,150,101,87,202,26,26,104
FUN_004216,0,155,50,103,10,4,2,7,5,0
FUN_004217,0,0,0,0,0,0,0,0,0,0
FUN_004218,227,186,102,78,109,27,88,2,0,212
FUN_004219,498,629,368,556,1062,831,718,959,862,1125
FUN_004220,559,805,694,691,1497,1197,714,1301,983,1341
FUN_004221,56,49,55,65,115,116,74,131,140,138
FUN_004222,479,540,403,551,1004,711,735,980,827,1108
FUN_004223,707,830,720,784,1223,942,812,1183,1037,1358
FUN_004224,11,43,48,35,47,23,22,35,34,33
FUN_004225,514,692,678,775,1013,917,788,998,922,1204
FUN_004226,21,18,9,35,38,22,27,50,47,52
FUN_004227,0,1,0,1,1,2,0,0,1,0
FUN_004228,175,243,55,282,998,157,148,1712,994,424
FUN_004229,169,259,200,250,373,317,238,513,346,540
FUN_004230,0,0,0,0,0,0,0,0,0,0
FUN_004231,0,0,0,0,0,0,0,0,0,0
FUN_004232,0,0,0,0,0,0,0,0,0,0
FUN_004233,4,0,0,0,0,0,0,0,0,0
FUN_004234,0,0,0,0,0,0,0,0,0,0
FUN_004235,4,0,0,0,0,0,0,0,0,0
FUN_004236,0,0,0,0,0,0,0,0,0,0
FUN_004237,0,0,0,0,0,0,1,0,0,0
FUN_004238,0,0,0,0,0,6,17,0,0,0
FUN_004239,0,0,0,0,0,0,0,0,2,0
FUN_004240,448,606,331,419,1300,1052,768,1139,1215,1445
FUN_004241,261,204,83,62,27,38,133,0,6,101
FUN_004242,0,5,5,0,0,3,2,7,3,11
FUN_004243,0,0,0,0,0,0,0,0,0,0
FUN_004244,0,0,0,0,0,0,0,0,0,0
FUN_004245,0,0,0,0,0,0,0,0,0,0
FUN_004246,0,0,0,0,0,0,0,0,0,0
FUN_004247,7,5,0,3,26,31,9,21,31,18
FUN_004248,17,6,0,3,28,38,14,24,40,19
FUN_004249,12815,17975,23273,18975,23635,20083,16605,21382,17288,22415
FUN_004250,52,94,41,49,72,61,82,71,51,77
FUN_004251,0,0,0,4,0,4,0,0,5,11
FUN_004252,84,140,87,176,238,241,117,188,126,417
FUN_004253,0,0,0,0,0,0,0,0,0,0
FUN_004254,0,4,8,0,0,2,0,0,0,0
FUN_004255,0,0,0,0,0,0,0,0,0,0
FUN_004256,23,26,17,20,31,36,39,24,23,38
FUN_004257,0,0,0,0,0,0,0,0,0,0
FUN_004258,14,0,15,20,41,18,17,31,18,36
FUN_004259,77,100,99,95,175,106,123,145,140,196
FUN_004260,0,0,0,0,0,0,0,0,0,0
FUN_004261,82,114,204,120,120,84,80,103,84,157
FUN_004262,183,196,123,143,547,483,511,595,513,598
FUN_004263,459,625,456,511,1119,891,559,1005,834,1236
FUN_004264,266,371,448,385,855,696,379,854,826,925
FUN_004265,472,492,441,523,1022,725,601,1114,788,1069
FUN_004266,0,0,0,0,0,0,0,0,0,0
FUN_004267,0,0,0,0,0,0,0,0,0,7
FUN_004268,163,202,100,135,309,203,233,280,252,363
