"","GeneID","meanExpr","logFC","pval","adj.pval"
"6584","FUN_006584",437.197725323963,"-3.38592343724647",4.80725297099248e-28,2.84238076627182e-25
"5514","FUN_005514",472.390931176418,"-6.85609002895268",5.6091516264922e-28,3.19368473903943e-25
"14661","FUN_014661",2042.9814042507,"0.903735591219049",3.94943192718496e-27,2.1683791791648e-24
"12054","FUN_012054",3869.9305219728,"-9.49127299746275",4.84012724670465e-27,2.56576814357209e-24
"38","FUN_000038",1468.25517388172,"1.27304828775281",5.93093162761895e-27,3.03920706371287e-24
"12169","FUN_012169",848.013352498962,"1.73886475235462",6.52717236215571e-27,3.23684582978774e-24
"10098","FUN_010098",83.5757721907775,"2.35098325655337",1.67955082888722e-25,8.06866715390099e-23
"6745","FUN_006745",225.636092349918,"2.50137630642166",2.22579568144208e-25,1.03688354578209e-22
"1857","FUN_001857",5250.83102164843,"1.41200099236581",4.6245603907611e-25,2.08241802467015e-22
"2259","FUN_002259",443.168116392817,"2.39785270632786",4.74108052191865e-25,2.08241802467015e-22
"3017","FUN_003017",2528.80332236005,"-2.48157754718831",5.70742423916315e-25,2.43722868968486e-22
"2954","FUN_002954",942.931785622015,"0.9707021673078",1.72171746310673e-24,7.15350339468642e-22
"5595","FUN_005595",1769.08842329421,"1.34504126532473",2.64640627904045e-24,1.06016292100462e-21
"9386","FUN_009386",57813.5712185028,"1.78654695507645",2.6895436101724e-24,1.06016292100462e-21
"1495","FUN_001495",595.158242241487,"1.0253548764172",2.82098622903375e-24,1.0841755324734e-21
"4521","FUN_004521",5031.53178379058,"1.04543286880744",3.6714234455481e-24,1.37660469825393e-21
"10835","FUN_010835",335.401790602507,"-1.88713285852279",4.98239766800806e-24,1.82367617500686e-21
"10594","FUN_010594",2253.7849555689,"1.86579185182736",7.59864681262232e-24,2.71660459187077e-21
"10077","FUN_010077",1015.8115741768,"-1.1156461282289",9.40174303034267e-24,3.28484080921495e-21
"1926","FUN_001926",1266.39972749675,"-1.00901191773571",1.44603581817649e-23,4.87762131668344e-21
"3016","FUN_003016",4278.63799960039,"-2.73238431673147",1.45951070427007e-23,4.87762131668344e-21
"8302","FUN_008302",2567.52137186698,"1.55505899990774",1.76938650106947e-23,5.78739971934913e-21
"12575","FUN_012575",1840.91866961978,"-4.97248173894914",2.19903819263533e-23,7.04287794487145e-21
"561","FUN_000561",60.0020884078261,"3.67325917453389",3.01691427636381e-23,9.46510676949812e-21
"8006","FUN_008006",388.050146640662,"-1.81450903226807",3.12941414617633e-23,9.62169673383374e-21
"6034","FUN_006034",4879.86854205441,"-1.47238384410881",3.32249921935021e-23,9.82245778828285e-21
"6187","FUN_006187",9857.62280964454,"-4.40564207449521",3.29472694605408e-23,9.82245778828285e-21
"10950","FUN_010950",5174.12446164892,"2.07150796555012",3.58326991016641e-23,1.03935110054695e-20
"12631","FUN_012631",621.024552515797,"4.38320556360488",4.00381623897522e-23,1.11910303712302e-20
"15854","FUN_015854",380.953789119766,"2.76731943517693",3.98656556037594e-23,1.11910303712302e-20
"6770","FUN_006770",139.417144632716,"1.5518326847038",4.21487451796928e-23,1.15705832079896e-20
"3895","FUN_003895",248.350203604979,"-2.01153342664486",4.87488916844694e-23,1.31476616116728e-20
"2437","FUN_002437",744.220335221558,"1.96014704444881",6.31630096204128e-23,1.67414646016311e-20
"9349","FUN_009349",4116.98241759589,"2.05008436981474",9.35256241349909e-23,2.43689732174104e-20
"4040","FUN_004040",261.818347190611,"-1.62968664977651",1.23044577352555e-22,3.15260714606805e-20
"14390","FUN_014390",207.881133477611,"2.59368650795014",1.29009882885088e-22,3.2512605403155e-20
"8871","FUN_008871",1761.30933018714,"3.43955504293188",1.59533323050287e-22,3.94564256887788e-20
"11892","FUN_011892",860.1839444882,"1.74181164270791",1.61696143784106e-22,3.94564256887788e-20
"11641","FUN_011641",3603.94627823576,"0.948712158485295",1.81334508260146e-22,4.35571155544254e-20
"2347","FUN_002347",455.131921340794,"1.31159771899432",2.21909139922312e-22,5.24832185850108e-20
"2059","FUN_002059",508.833949417019,"-3.53160598106576",2.31023178104021e-22,5.381089874232e-20
"1563","FUN_001563",2332.28497442297,"1.64440550212309",2.61853826640019e-22,6.0081774282642e-20
"10492","FUN_010492",140.490849803973,"-8.15547981883588",3.06390285042793e-22,6.92667331171008e-20
"7232","FUN_007232",5679.22836730985,"2.56580352602249",3.50284043429587e-22,7.80422695600441e-20
"1618","FUN_001618",2270.34081617784,"3.7288352846162",3.59464924285205e-22,7.81106223827668e-20
"5315","FUN_005315",193.610211963379,"2.55769546063314",3.60752890728969e-22,7.81106223827668e-20
"9385","FUN_009385",2298.16180148204,"1.33689445928839",4.62710220361646e-22,9.87950585780497e-20
"674","FUN_000674",998.898447034096,"3.05357861315902",5.23161643406223e-22,1.10172108823067e-19
"5924","FUN_005924",679.399173113556,"4.0296981834877",7.17728186164405e-22,1.49103181160884e-19
"9171","FUN_009171",5468.18479227899,"0.695371581640792",9.9221896770307e-22,2.03378429206657e-19
