"","logFC","logCPM","PValue","FDR"
"FUN_013137",3.04175686729072,5.13887860992525,0.00452168934380498,0.0334236772330545
"FUN_013136",3.04334496049808,4.02901160104431,0.00171464301337486,0.0148312376491051
"FUN_006860",3.05430904560629,-0.140469392920489,0.000240674586955709,0.00273285895732486
"FUN_011889",3.06022774421664,1.35239015198109,2.5348120829e-07,7.80431790633837e-06
"FUN_003378",3.06728546976801,6.73453920243441,5.04164112162546e-09,2.58139412447182e-07
"FUN_002150",3.06783099858906,2.40021246404781,4.86409505453453e-05,0.000697336622279832
"FUN_007272",3.07333384022012,4.72525417567726,1.20300504872429e-05,0.000215581909691935
"FUN_012559",3.07537392723669,5.20732786596693,8.14108799038638e-13,1.18537633260022e-10
"FUN_006580",3.07595163921929,4.75322910420357,3.35352257773653e-13,5.5804212609049e-11
"FUN_011238",3.08332368347105,-1.40390162621218,2.87292582286455e-05,0.000451210754516861
"FUN_015898",3.08665377169905,-2.06914466528689,0.00198403414198231,0.0167819770890042
"FUN_014232",3.08851626545783,2.96706559686798,0.000263625903856775,0.00295506245718524
"FUN_004200",3.08893584876648,2.32990968145258,5.83212187836917e-10,3.84534903848322e-08
"FUN_012325",3.09160281344571,2.88244912580472,3.94236647406241e-06,8.27423402018683e-05
"FUN_008160",3.09245371938757,5.07207472108477,1.39069092253873e-13,2.55777338358505e-11
"FUN_014234",3.10059007949404,3.51128122014941,9.7037863473476e-08,3.32449817556923e-06
"FUN_010428",3.10171940056618,2.74830228008944,0.00307268940701925,0.0242127960283993
"FUN_013766",3.1023096908384,5.27361052675706,2.36795147576559e-06,5.23721926079927e-05
"FUN_001223",3.10277715117715,1.84103557395698,2.94512062294391e-06,6.42229267823868e-05
"FUN_014236",3.10540282832483,2.83934006478413,1.33779940688722e-05,0.000235810341859641
"FUN_001558",3.11027192635371,7.73768286484067,1.076652389553e-08,5.1188595582217e-07
"FUN_006564",3.11113232420923,7.56216484832482,0.000760312228634533,0.0073751869062134
"FUN_015889",3.11327271428545,1.50686662263124,5.86247857842508e-05,0.000812147924372902
"FUN_016211",3.11341342398662,1.0284694445675,7.66527096439117e-08,2.75437422982673e-06
"FUN_012569",3.12862166346285,3.15755471834398,6.78447251625425e-06,0.000132448822391343
"FUN_010536",3.12878017130871,8.76950366488761,9.03281011558737e-09,4.3993247315568e-07
"FUN_006176",3.13019361595662,3.7999971863569,1.61661257578773e-06,3.80421053608769e-05
"FUN_009416",3.13375288924592,4.15469011102359,2.82229616059347e-09,1.53502162384341e-07
"FUN_014328",3.13676782460375,3.73952171391667,1.89251484700023e-05,0.000317189119081166
"FUN_001007",3.14186433178015,8.61051439926198,2.21435841081132e-08,9.37948541403654e-07
"FUN_015021",3.14369982054544,4.14934708833698,4.7090529879832e-10,3.21088500809899e-08
"FUN_014257",3.14693710834216,2.76657424378504,2.1559131240394e-10,1.6377909591208e-08
"FUN_011140",3.15053679969622,-1.81648832153965,0.000100446242058094,0.00128692719659765
"FUN_010314",3.15276088307407,-1.29602386619103,3.5785650519931e-05,0.000544893053341607
"FUN_010425",3.15443401799979,7.1424239106188,0.00142500538821833,0.0127194925392821
"FUN_009929",3.15640783820362,3.8082877096146,5.08565620796001e-13,7.97732020898328e-11
"FUN_003708",3.15799762893133,2.03387432523924,1.12896123264296e-05,0.000203883980747847
"FUN_014233",3.1592601004376,3.103656844748,1.91352414833396e-05,0.000319179481448831
"FUN_006565",3.16445819446751,8.45425455409345,0.0033206394107006,0.0257437036510111
"FUN_001461",3.16554539044947,0.0929540848313271,4.72129947177992e-05,0.000679587088147504
"FUN_005116",3.1666431998221,3.65453943431785,2.18750183479033e-07,6.91785082504508e-06
"FUN_008478",3.16956392590409,0.862948335050508,5.06799076740544e-10,3.42224033559388e-08
"FUN_001238",3.17140902194633,0.803308827055027,5.43960178614156e-06,0.000109755663432114
"FUN_000719",3.17722508279395,5.86538599822434,0.0035466825923745,0.0272542766774111
"FUN_000561",3.17961869427332,0.362750147803749,3.32624938632838e-10,2.33639768452755e-08
"FUN_004298",3.1818318675627,4.73133857926328,4.60554956584967e-06,9.48105623438096e-05
"FUN_011887",3.1932801975858,5.02800146375454,0.000225113038574642,0.00258556290320159
"FUN_010156",3.19453740933611,9.66994117437589,5.89054698947846e-05,0.000814422016013154
"FUN_012342",3.19653971944924,1.43093347533729,3.29029120295082e-07,9.78546604996736e-06
"FUN_001746",3.20562024748699,1.23169686364109,4.96467763711331e-12,5.68821836160408e-10
"FUN_012909",3.2182684274458,1.75658545863049,1.01372467468628e-06,2.57165943788836e-05
"FUN_002593",3.22074268515315,-0.192693894555745,2.96124262578788e-07,8.95936134702663e-06
"FUN_002061",3.22156381121646,5.64514206261923,0.00196478143758072,0.0166547695175884
"FUN_005311",3.23100897429642,0.682990898520277,3.84714842168718e-07,1.12032167996549e-05
"FUN_000601",3.24217616824385,2.99788714544635,2.16897300885137e-05,0.000354936155872518
"FUN_006050",3.24460900700003,1.01326152324834,9.55756823289935e-11,7.59066413406063e-09
"FUN_012761",3.2494451353145,-0.826365688180577,0.00011265792596418,0.00141867791813271
"FUN_008013",3.26042538996589,2.34960358030889,2.33239888238033e-07,7.30992636276061e-06
"FUN_014265",3.26204173467194,0.0385810041495912,1.24621935488554e-06,3.05072752059371e-05
"FUN_006477",3.26396511926008,0.859602216410158,5.85570607823817e-06,0.000116763280401731
"FUN_015320",3.27023278979929,5.00422967037774,0.000146904312168968,0.00178714401696939
"FUN_013397",3.2721359796429,6.04678803948368,0.00107269463984815,0.00999177432397621
"FUN_010331",3.27229264787045,0.191728376256116,2.61017056708722e-05,0.000416020116154448
"FUN_002293",3.27309441976385,0.463125967291185,7.65724451685356e-08,2.75437422982673e-06
"FUN_003604",3.27502623714925,1.51206409865316,7.07170171268891e-05,0.000955055522125271
"FUN_001617",3.27664567773789,3.7548887410306,8.40646919360798e-14,1.63202258872573e-11
"FUN_008708",3.27816474117564,3.74813549876562,3.33051100191591e-08,1.34548794175666e-06
"FUN_012406",3.28134290977066,4.39722579336131,7.5337970997817e-13,1.12029165809307e-10
"FUN_013316",3.28927417032705,2.98707403151553,3.25947477261242e-12,3.89736655283031e-10
"FUN_016324",3.28997335974358,3.05356032966232,2.24861091510282e-06,5.0129319571463e-05
"FUN_005469",3.29086623570764,6.40825185932659,0.00016905919759366,0.00202321015750358
"FUN_008022",3.29822947397669,1.60159079623463,4.12518854630495e-14,8.60625156720157e-12
"FUN_012895",3.30315863294698,2.44905473389667,6.84230841190184e-05,0.00092856103865596
"FUN_011004",3.30862565692263,3.03024893491031,2.46365832514697e-05,0.000396283268917196
"FUN_002439",3.30869051616646,-0.489007490330705,8.5567195669886e-06,0.000161171040398338
"FUN_001761",3.31227457557429,-2.14300388281889,0.00115576949709719,0.0106706380650096
"FUN_012340",3.31399901071049,4.83825261235402,1.28550817254283e-05,0.000227741866106511
"FUN_005298",3.31475049131061,10.3522183682978,0.000189387393245514,0.00223774892881301
"FUN_001040",3.31571257711692,-1.93943806788548,5.13150985720744e-05,0.000726060638563582
"FUN_010479",3.32426853520529,9.3518476041977,8.35454457266355e-06,0.000157810573022556
"FUN_014998",3.32702485388363,0.317398222685578,4.1084460736633e-09,2.13486465493181e-07
"FUN_011338",3.32775539558544,1.6609033248995,1.02203966788522e-06,2.5791453404553e-05
"FUN_005931",3.32843001100598,7.47396579324976,0.0007091715922468,0.00694173705632057
"FUN_014230",3.32995100687469,2.94972368441357,0.000126163757733261,0.00157316414415301
"FUN_010354",3.33002286595073,2.23874466965822,3.64056932919271e-05,0.00055187887936252
"FUN_009768",3.3343986564824,1.27149325506838,1.29882045401036e-05,0.00022980901653363
"FUN_003553",3.3371969144778,5.38189717646118,1.40544252857436e-14,3.22053699416596e-12
"FUN_000888",3.34404843009952,5.29909416090819,7.56199485294067e-05,0.0010095660368138
"FUN_003909",3.34929611907947,7.56351210345157,0.00159227623478677,0.0139453867229633
"FUN_010427",3.35073488334021,2.11984454779294,1.15148867381122e-05,0.000207416349001717
"FUN_006858",3.35853165510249,1.96822823540283,7.57537482407558e-05,0.00101038730239436
"FUN_014795",3.36423211784474,4.99744994945693,0.000251791729380812,0.002836055433751
"FUN_011337",3.36539688899905,-1.3456787496052,6.19020903622855e-06,0.000122240807997693
"FUN_006408",3.37049694654933,2.97985733456095,1.87311214976335e-05,0.000314691846507116
"FUN_015132",3.37498442376156,5.78499807080647,1.18542926137879e-05,0.000212981108169058
"FUN_002295",3.37574207746348,5.27784497565707,5.06195997146979e-05,0.000720530310399234
"FUN_002551",3.37885243699321,3.54494936664717,7.39148545454902e-16,1.9868881477632e-13
"FUN_013398",3.38154975925832,4.44648138065774,0.000377591444074844,0.00401978157294606
"FUN_006459",3.38162376942723,8.86603674573787,0.000890022039788024,0.00849196455437338
"FUN_005949",3.38326567320913,4.89995576582156,0.000471426291663036,0.00489932840510477
"FUN_014224",3.38472787732419,7.52827611384632,0.000748046713037669,0.00727640706669487
"FUN_006493",3.38625647221787,3.01806055058836,1.85148032137899e-07,5.93577796610907e-06
"FUN_012975",3.39154757237671,1.6973270593332,8.30521076916989e-08,2.9464526936918e-06
"FUN_006107",3.39283972741513,3.38910580287541,1.38981874725612e-05,0.000243444692345189
"FUN_007277",3.39480453315781,3.78678050980756,7.51061889535975e-05,0.00100558841876761
"FUN_005928",3.39826216939892,0.971989940345398,0.000215855298511619,0.0024977031147313
"FUN_003605",3.4056087872591,-1.53966877529049,0.00116662547236218,0.010754050890297
"FUN_016255",3.41255966348974,-1.05190283561173,7.3341564316135e-05,0.000985738832702822
"FUN_003710",3.41256053950738,7.50137178632961,2.92416945383094e-11,2.62599663534146e-09
"FUN_000718",3.41459421102546,3.12491368602846,7.64068622696782e-05,0.00101812690257918
"FUN_008871",3.42755055114861,6.20785157229264,5.93622769409966e-15,1.45572966154605e-12
"FUN_001915",3.42927594578984,0.570376017862161,3.67929450453009e-06,7.80412421613377e-05
"FUN_001636",3.43362655977679,1.03860728116008,0.000168303807049341,0.00201589598537762
"FUN_014791",3.43935977027109,6.29228113760654,0.000436251191710197,0.00457115379139815
