"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUN_012849","FUN_012849",0.64124321659165,3.96624296926257,6.34966243858268,6.62369450079579e-05,0.0015115313039953,1.89778299286059
"FUN_007702","FUN_007702",-0.496997187935856,6.19161456777356,-6.34603071076934,6.65605690634616e-05,0.00151538666172092,1.71076719148833
"FUN_001754","FUN_001754",-2.06195906675998,3.44295556588369,-6.34539519009951,6.66173747040807e-05,0.00151538666172092,1.96458829003995
"FUN_014236","FUN_014236",-3.98464863048835,2.13757560485002,-6.34319747848374,6.68142172791807e-05,0.00151574976844527,2.10392801800168
"FUN_001732","FUN_001732",0.981525508533192,3.68392412498114,6.34237508272806,6.68880372714726e-05,0.00151574976844527,1.93754651480332
"FUN_001916","FUN_001916",-3.54866387270299,-0.925377292751802,-6.34077584760509,6.70318387440656e-05,0.00151574976844527,1.53422940448522
"FUN_012975","FUN_012975",-4.11769114742071,0.328436409310847,-6.34050300111283,6.70564059168449e-05,0.00151574976844527,1.87436758764126
"FUN_015716","FUN_015716",-4.22308827565056,1.41575095339307,-6.33874518010405,6.72149124458511e-05,0.00151633206519076,2.055045911965
"FUN_008688","FUN_008688",-1.07494740160971,2.24207745921831,-6.33787217887698,6.72937822525521e-05,0.00151633206519076,2.06984836296193
"FUN_000220","FUN_000220",0.535741310221965,5.96462611588395,6.33614771681049,6.74498678468924e-05,0.00151746319641101,1.7057414094041
"FUN_007690","FUN_007690",-0.702842963811146,4.46768339005371,-6.332601270319,6.77720885135072e-05,0.00152232257129635,1.78041613491763
"FUN_000492","FUN_000492",-3.18957278148673,2.24077416029501,-6.32846146067642,6.81503115374593e-05,0.00152800865256346,2.07832865147397
"FUN_007970","FUN_007970",-2.33234987554675,0.941968059363652,-6.32750005405798,6.82384716796186e-05,0.00152800865256346,2.0497593137535
"FUN_001631","FUN_001631",5.03753313293911,0.270442825899488,6.31798307201402,6.91178021551043e-05,0.00154528427875944,1.5761803071088
"FUN_002592","FUN_002592",1.05256071583579,9.40379013990729,6.30890661346848,6.99677658669997e-05,0.00156185054928345,1.72656637233685
"FUN_010905","FUN_010905",5.24321091416133,0.488065034971556,6.30525712888372,7.03126766681624e-05,0.00156412076837355,1.61970949444756
"FUN_012624","FUN_012624",-4.77355687128385,5.60333295209402,-6.30415460810937,7.04172337827043e-05,0.00156412076837355,1.78934524257037
"FUN_015256","FUN_015256",-2.40171122581894,1.6493069980058,-6.30322332451794,7.05056816608042e-05,0.00156412076837355,2.05250226554961
"FUN_005650","FUN_005650",-4.58135651274752,0.604445573509069,-6.3032195855265,7.0506037008535e-05,0.00156412076837355,1.85948864460285
"FUN_011034","FUN_011034",-0.473436638016441,6.30167549139222,-6.29633476075087,7.11636306785052e-05,0.00157626892002111,1.64062055568921
"FUN_005948","FUN_005948",-5.55033081848694,5.48702154720085,-6.29309461823818,7.14753824487802e-05,0.00158073102758251,1.83430508984046
