"","id","fc","pval","qval","de"
"487","FUN_000823",0.0176592984700205,9.4615083533145e-05,0.00332907155688648,-5.82342815788264
"426","FUN_000714",27.6357588570122,8.98790998684618e-05,0.00332907155688648,4.78846432329675
"8031","FUN_014983",17.6574765653714,8.95468083418338e-05,0.00332907155688648,4.14220727667623
"4195","FUN_007531",13.2658208061237,9.24275898729343e-05,0.00332907155688648,3.7296420381727
"2004","FUN_003553",9.22000792478294,9.04516076986051e-05,0.00332907155688648,3.20476799068066
"3379","FUN_006089",4.30826776737698,9.16819078164988e-05,0.00332907155688648,2.10710791902366
"2083","FUN_003710",11.7061741506343,9.92923819094216e-05,0.00339501899716494,3.54919774154078
"5445","FUN_010322",0.0243837998816276,0.000105576990899081,0.00352460588949747,-5.35793322201164
"5549","FUN_010498",98.704328815342,0.000109517583184893,0.00363357066244792,6.62504145234998
"6723","FUN_012559",8.38511046368377,0.000113123082488231,0.00372165435244895,3.06782978967621
"6258","FUN_011811",0.0787593468959683,0.000116332824502519,0.00379535839939467,-3.66640504189044
"8488","FUN_015889",14.0265039782005,0.000118464873845037,0.00382353059464058,3.81008356558317
"998","FUN_001912",7.97656958765369,0.000120655516015145,0.00382353059464058,2.99576843279821
"5501","FUN_010423",7.60451849260348,0.000120749242368268,0.00382353059464058,2.92685690142441
"6383","FUN_012014",0.2200172722684,0.00012148934591516,0.00382353059464058,-2.18431130914728
"2286","FUN_004026",4.18348896335693,0.000121014679212328,0.00382353059464058,2.06470662905625
"7677","FUN_014260",4.04624952847491,0.00012157051346684,0.00382353059464058,2.01658529231163
"406","FUN_000665",4.91338834194009,0.000128051913603544,0.00396302957911364,2.29671827060731
"2527","FUN_004477",0.142915981575542,0.000129152594727233,0.00397071618649893,-2.80676084010105
"554","FUN_000946",0.0484532076240691,0.000133493457332046,0.00397256181139936,-4.36726401391437
"6807","FUN_012690",0.01880637254158,0.000136445653986073,0.00399219538528702,-5.73263458764163
"1334","FUN_002474",0.0416443082207965,0.000136642191986835,0.00399219538528702,-4.58573686255756
"2301","FUN_004073",0.0215074253332469,0.000143984844238387,0.00409556419271404,-5.53902136056363
"553","FUN_000945",0.0727105984130817,0.00014606902202452,0.00409556419271404,-3.78169052076641
"7210","FUN_013367",0.194575189009649,0.000146699833076136,0.00409556419271404,-2.36160033633461
"357","FUN_000595",4.28080815035587,0.000149347448936021,0.00413212199706377,2.09788318084382
"1388","FUN_002573",0.198335146196356,0.000151764222719564,0.00416396364100705,-2.33398774031463
"5030","FUN_009654",0.167751207902347,0.000155068673007852,0.00419955707174746,-2.5756049402148
"142","FUN_000192",0.0224745287725517,0.000166944307319117,0.00433087846831068,-5.4755653229618
"3402","FUN_006114",14.405994105696,0.000167399702569959,0.00433087846831068,3.84859731400177
"5213","FUN_009929",6.2730788536354,0.000167593381340758,0.00433087846831068,2.64917369767714
"3342","FUN_006031",7.6020325643907,0.000171127576352292,0.00439320958307688,2.92638520520308
"3926","FUN_007060",20.9720864756755,0.000173698284620327,0.00440148080445683,4.39039849463221
"4679","FUN_008829",0.0800052632156357,0.000173475551843105,0.00440148080445683,-3.64376127770812
"4898","FUN_009416",10.2027875421333,0.000172748900005959,0.00440148080445683,3.3508914651025
"6303","FUN_011879",4.92863975448418,0.000176133614575136,0.00442027628885677,2.30118953499319
"976","FUN_001855",5.41803991222743,0.000178506093361119,0.00445128251916422,2.43777102125504
"8397","FUN_015683",50.8574662986456,0.000181058688822455,0.00446583753775497,5.66838768413851
"4128","FUN_007423",29.3426549577198,0.000181941529315943,0.00446583753775497,4.87492750853827
"3284","FUN_005947",44.2291605320726,0.000186605148331465,0.00449854887275797,5.46692595508212
"5314","FUN_010099",15.1672363345618,0.000187968338998257,0.00450089325491239,3.92288632683664
"5418","FUN_010286",13.8355789173622,0.000192415090109588,0.00457773646967587,3.79031110628979
"7029","FUN_013085",6.77074410505385,0.000192934092059449,0.00457773646967587,2.75931439475731
"206","FUN_000279",6.9855778075475,0.000199976240382371,0.00466016060176776,2.80437945215687
"6200","FUN_011713",50.1991362945604,0.000211359728271687,0.0048249174121496,5.64959063686671
"501","FUN_000842",61.5123483485652,0.000221652846069675,0.00497677686274351,5.94280414945281
"1837","FUN_003289",0.0553634641048936,0.000223558273313884,0.00500131794299346,-4.17492197420984
"176","FUN_000231",0.0171732421083186,0.000236338087493237,0.00511700515758998,-5.86369376068228
"2972","FUN_005277",4.3792255582492,0.000236571630529703,0.00511700515758998,2.13067575976704
"592","FUN_001007",12.1971546180632,0.000243916537769673,0.00516701449883127,3.60847272651268
"6632","FUN_012406",7.32341510663416,0.000244177738588203,0.00516701449883127,2.87251657315957
"5419","FUN_010287",30.3301348337892,0.000256281006683068,0.00536545530034337,4.92268000642039
"8695","FUN_016256",8.19356156428766,0.000255848965013072,0.00536545530034337,3.03449069658306
"6960","FUN_012975",4.72015463732428,0.000260246869677405,0.00541950263184596,2.23883412459695
"6765","FUN_012629",8.06397763668452,0.000274069196883442,0.00554032222085272,3.01149163790912
"1996","FUN_003544",7.03592037490952,0.000275247170359094,0.00554032222085272,2.81473915600868
"3448","FUN_006201",0.122604889158803,0.000279618080705202,0.00557172619240905,-3.02791158384791
"5669","FUN_010719",25.9343548029493,0.00028395170768114,0.00557660935919284,4.69679257354711
"7660","FUN_014234",6.96241983167191,0.000281833574305557,0.00557660935919284,2.79958881073055
"4693","FUN_008874",4.12648831283121,0.000287939747011356,0.00560837865447493,2.04491455433521
"3131","FUN_005646",28.3448013316824,0.000288897821391521,0.00561139716062161,4.8250122522507
"1888","FUN_003378",9.20502678961211,0.000290244680721807,0.00561139716062161,3.20242192029156
"5550","FUN_010499",97.3215777369376,0.000297980287004895,0.0056724719400837,6.6046878037252
"3255","FUN_005898",11.8449113071068,0.000300648257360758,0.0056724719400837,3.56619549082505
