"","logFC","logCPM","PValue","FDR"
"FUN_009294",1.42502445559892,1.77245180702321,0.000320030629644646,0.00439660243941802
"FUN_003346",1.42995841363271,3.25311974980674,0.000123920756480549,0.0019286291827282
"FUN_009710",1.43314588341606,3.51726502933066,2.39324481594013e-05,0.000478967676178043
"FUN_009493",1.43646741415767,4.87039827521684,5.34340139732657e-05,0.00093671016436061
"FUN_006770",1.43732805627057,2.46731651757207,1.54799843088015e-06,4.72139521418447e-05
"FUN_015893",1.43922909057907,3.31946963644283,0.000369225641736191,0.00494224217290767
"FUN_007611",1.44071298928179,5.18192639392158,2.31510918909799e-07,9.13390692242932e-06
"FUN_014698",1.44597792143679,6.76308703113212,0.000262376941531816,0.00371031071040415
"FUN_013855",1.44638026082991,8.36138415702245,4.9327822497819e-05,0.000876815305066071
"FUN_014922",1.44917673218284,6.48180157221668,6.62444547021451e-05,0.00112779308000119
"FUN_002910",1.45186997173907,2.10530175863427,4.254403214831e-05,0.000772003727161046
"FUN_014995",1.45493562697948,5.842696093638,0.00542744518821162,0.0470482938680263
"FUN_006661",1.45872614068188,3.55835816066069,1.18156303330543e-07,5.0484652733354e-06
"FUN_001255",1.46126834969516,2.24503007840105,0.00339013486454703,0.0320608234815944
"FUN_011442",1.46376321986395,-0.363213868629112,0.00554972073484325,0.0478822721647671
"FUN_000200",1.47946161091673,6.41626225956074,0.00106374396695629,0.0123488423579736
"FUN_009616",1.48119485053377,1.16390473868413,9.52776350235117e-05,0.00154870657283547
"FUN_000473",1.48487772338458,3.85685442535239,8.07403084603043e-08,3.64677059879041e-06
"FUN_005387",1.4864733468875,2.16435644357818,2.23622551202031e-05,0.000453583361217272
"FUN_000482",1.48751299230003,3.33661711266721,1.29811371703087e-05,0.000286886602356114
"FUN_013961",1.49155277095526,0.0797339234776752,0.00140386612433508,0.0155531796684182
"FUN_016315",1.49687126267421,3.33254591948443,1.45432466360791e-05,0.000315504475250687
"FUN_008462",1.49752188877618,1.10350808848707,0.00495983284218124,0.0437986093558217
"FUN_007339",1.50039840754133,7.12840788375718,7.06031118201166e-06,0.00017189102231198
"FUN_006785",1.50116069099032,2.38118700045222,2.42859254734295e-05,0.000484867915460463
"FUN_007619",1.50304435699025,4.82794305803969,3.66961299017666e-06,9.81591785446769e-05
"FUN_003199",1.50437983420468,6.68260636584046,9.40539487472145e-05,0.00153182840072926
"FUN_014289",1.50656213961775,3.89833307570976,1.66110725732065e-05,0.000349805911729524
"FUN_008302",1.51107454244465,6.90935763404141,6.45150591562667e-06,0.00015894164573953
"FUN_000685",1.51319097185068,4.37726293819327,8.39078223326455e-06,0.000197308707109668
"FUN_007116",1.51359973190533,2.50555863480541,6.18219116329489e-05,0.00106345267555076
"FUN_008980",1.51396972278244,2.97009146022502,8.76842275481936e-06,0.000205312743002718
"FUN_003294",1.51485003111131,5.77087587406393,6.28349878181911e-06,0.000156199275732709
"FUN_007343",1.51909099233706,2.78561747448106,1.2237450128599e-05,0.000272637854549691
"FUN_002254",1.52299765292929,5.08214623634621,4.83599855764008e-07,1.71922348723329e-05
"FUN_004145",1.52456903910181,1.8221231415656,0.000108566936118654,0.00172403460228383
"FUN_014530",1.52895227654781,1.7764664740475,0.00128981687655478,0.0144262265130765
"FUN_011111",1.53005096766006,2.05239350335127,0.000170367871171384,0.00253725340390464
"FUN_009910",1.53455081668013,3.58614613057854,5.5749773713623e-06,0.000140917356155948
"FUN_009138",1.5351852847201,5.57977672893823,3.1151956335687e-06,8.56860216614378e-05
"FUN_016213",1.54186482743698,4.43599515512489,1.89124760079403e-06,5.6129648274194e-05
"FUN_000925",1.54197025825223,3.73445028598458,1.2467849386658e-07,5.31201077862998e-06
"FUN_001148",1.54547019167631,9.7050791718295,2.85695877963089e-05,0.00055693850926979
"FUN_013169",1.55780535237917,8.95951536622992,1.40076663147482e-05,0.000305086603226749
"FUN_011241",1.55816172753288,-0.150184719054882,0.00217642738457416,0.0225995735517559
"FUN_012888",1.55835861699464,2.93168783181891,0.000183206925360605,0.00269687772318447
"FUN_011270",1.55867092144728,3.48930055720366,2.11737723169784e-07,8.41402957144159e-06
"FUN_009176",1.55987145382909,4.88902735090888,1.13592249463258e-05,0.000256179191797697
"FUN_005899",1.55988712338817,1.7822043039907,0.000278058217159363,0.00389245888888988
"FUN_000890",1.56099867408207,5.04068385846034,2.47660837377915e-05,0.000491486350863663
"FUN_016386",1.56265204405331,1.60551747506375,0.000140910583783017,0.0021469058622277
"FUN_006915",1.56299595097778,-0.0569672433387334,0.00270388863009493,0.0268295215750897
"FUN_012067",1.57080365414222,7.69615448495517,1.94663861318149e-05,0.000401245422874104
"FUN_006769",1.57309140771953,9.5036358150055,1.51539352188029e-05,0.000325337276755883
"FUN_000466",1.57492389700858,4.53196342328799,6.89087956756527e-08,3.19980702616353e-06
"FUN_010746",1.57513128827592,3.37737974230632,5.54956933737017e-06,0.000140705415208691
"FUN_001737",1.57551884364114,7.54469870111831,0.00448763747044296,0.040318008165159
"FUN_009843",1.57619568407458,-0.661383774012272,0.00570315776228588,0.0489760524510898
"FUN_005061",1.57708846150163,2.64315506844695,3.79263889903397e-05,0.000700515236200341
"FUN_012670",1.57828218120305,11.6781380256059,0.000182004143432709,0.00268634865632688
"FUN_010037",1.58751254410807,1.75450616620122,7.66692282702908e-05,0.00127635348694479
"FUN_001297",1.58803017900437,2.8859802577776,2.82748147282724e-07,1.07947104451056e-05
"FUN_014568",1.58804495603572,2.66764643215682,0.00102345053185096,0.0119482067387205
"FUN_003185",1.59270119971407,2.28984908655925,9.86984690545785e-05,0.00159959254111886
"FUN_005386",1.59552148704661,3.3759936099614,1.08971932949199e-05,0.000248814229776686
"FUN_011946",1.59635995708189,3.00481020646153,2.68865269040298e-06,7.54603015705461e-05
"FUN_006138",1.59839677518264,3.16079840193861,2.61796875688753e-05,0.000515210018096521
"FUN_015137",1.60574803416301,4.27210263243754,7.23070227710302e-09,4.61508646111158e-07
"FUN_009065",1.61201689905211,3.08930779234411,3.22155329362647e-06,8.80256156974201e-05
"FUN_001563",1.6122131356504,6.63496770289529,1.33517012638882e-06,4.180245711995e-05
"FUN_007418",1.62026925118979,4.40848706160282,3.30112520115621e-07,1.22631237528794e-05
"FUN_007420",1.62152169128797,5.09751274969546,0.00216300613142065,0.0225026144484045
"FUN_016350",1.63083190896319,1.76593902874825,0.000282715059614226,0.00395060240953743
"FUN_001087",1.63567311343301,2.08991599277408,6.76625005094627e-06,0.000165707969766212
"FUN_002269",1.63932477975555,2.86456745960734,1.64295501212259e-06,4.9561476834669e-05
"FUN_009290",1.64026355279627,1.37016472238703,0.000471923449650122,0.00614764897255018
"FUN_005812",1.64040217850596,4.04741202477931,0.00261066567863753,0.0261240401534848
"FUN_006042",1.64174555326647,2.69821640960352,9.80964791217732e-05,0.00159139636541907
"FUN_005731",1.6434303125703,5.28610938380153,9.67009544751587e-08,4.24022142819323e-06
"FUN_007999",1.64741133405686,4.88222636842087,6.80884540669143e-07,2.31592394147146e-05
"FUN_002294",1.64765561499744,4.79552002287186,3.44021881436285e-07,1.27226526219759e-05
"FUN_004648",1.64957801679609,4.22759338967773,2.8357287811394e-07,1.08012517237363e-05
"FUN_003543",1.65130440732922,0.866221041215364,0.00228778183951762,0.0235194786001653
"FUN_014051",1.653121730809,6.54947015298461,1.55846523004246e-06,4.74456514140551e-05
"FUN_010987",1.65412703109306,3.2877646237714,3.56360084700856e-06,9.61009553048916e-05
"FUN_015863",1.65483841905071,0.694003127332958,0.000106576851280254,0.00170106437432127
"FUN_006053",1.66080720450246,1.69735200919309,9.30104334717589e-06,0.000215343904162696
"FUN_015185",1.66135205400265,1.40915125472794,0.000493779748982335,0.00636955447889736
