"","logFC","logCPM","PValue","FDR"
"FUN_001434",-1.08206286862399,4.77041435737873,0.000119623378205339,0.00157820755396046
"FUN_011461",-1.07937236904675,3.95952258750713,2.53114663501409e-05,0.000401944140474716
"FUN_001145",-1.0763725695756,3.63936784959913,0.000649379369244859,0.00688133996986331
"FUN_016574",-1.0762343098036,0.333389385389885,0.00443595789280552,0.0347539430928758
"FUN_014700",-1.07515204683364,0.638187401053892,0.001783019333402,0.0162675083832956
"FUN_012841",-1.07476699071618,2.3896241834989,9.41334496678098e-05,0.00127030208690495
"FUN_014606",-1.0742031510526,4.45011054511116,2.06805556194848e-05,0.000340614760635029
"FUN_004665",-1.07288480679376,3.64879919133568,0.000945306419501874,0.00948807554388918
"FUN_003333",-1.07203129107175,5.60473279331014,0.000825516815889593,0.00844468965561316
"FUN_010002",-1.06962923364576,3.84084136619139,5.81613769422745e-06,0.000111280754888049
"FUN_000134",-1.06872775381129,5.58129576046069,0.000302323748544725,0.00356470320056551
"FUN_015505",-1.06712926266855,3.20411677442594,4.25213135654683e-05,0.000629856482572362
"FUN_008292",-1.06567121882855,4.08347575972423,0.000102801274874153,0.00138211893701632
"FUN_016384",-1.06510638357298,5.1761933460877,0.0040377261002681,0.0320747958498472
"FUN_004901",-1.06439382254341,4.04213188268771,8.53243479333622e-05,0.0011647372383868
"FUN_005697",-1.06193840426775,1.80448463745447,0.000635549645848494,0.00673910916967381
"FUN_001736",-1.05847485810038,4.51710356115169,0.000889868147588473,0.00901373183075065
"FUN_009606",-1.05838265259292,1.55657826066288,0.00251616849518246,0.021663948642636
"FUN_008011",-1.05670845920046,7.64584185596343,0.00278579912151685,0.0235889668781145
"FUN_003806",-1.05454953119667,1.35460669586306,0.00297546896697768,0.0248296201378637
"FUN_001405",-1.05429875787289,5.73446645911516,0.000893635739625227,0.00902685563005989
"FUN_011939",-1.05428947563015,3.89249137225931,2.29299618223318e-05,0.000370895497930496
"FUN_007795",-1.04658184158974,3.60604728806338,0.00111458964921785,0.0109870491897556
"FUN_000082",-1.0456940556525,3.74820441311551,0.000559298496972097,0.00604298264931094
"FUN_015117",-1.04526791979027,4.51547707804938,6.49822221128324e-05,0.000924077861099493
"FUN_012217",-1.04501661941209,6.47291704295761,0.00234549076398811,0.0204070041155197
"FUN_001926",-1.04399373383509,6.93537232421386,0.000893637799173381,0.00902685563005989
"FUN_011521",-1.04392107059182,2.44328383009362,0.00319482942291536,0.0264332958909979
"FUN_013853",-1.04331633655521,3.93992267858792,0.00143682251025454,0.0136037301930228
"FUN_015843",-1.04187074375019,4.71657268029685,0.00149562115992437,0.0140318464215152
"FUN_015962",-1.04187074370103,4.71657268029685,0.00149562063421973,0.0140318464215152
"FUN_011800",-1.03984915238934,2.20087637047902,0.000709035623322976,0.00739966407143442
"FUN_015807",-1.03875446257073,4.08808565825343,5.06262734496773e-05,0.000738661011824021
"FUN_006457",-1.03871732174793,4.86708174566434,0.000230875609091938,0.00281253109351424
"FUN_010105",-1.03851852021152,2.03877691682078,0.00273042122248671,0.0231945494496032
"FUN_009209",-1.02584500234568,3.92882564039879,6.15214622878544e-05,0.000877628882300471
"FUN_003355",-1.02583757790724,5.54221038618628,0.00168555400839005,0.0155490476075312
"FUN_006012",-1.02403425714192,5.46503561954741,0.00230144295210867,0.0200871982266676
"FUN_013034",-1.02319732203236,1.96605973101785,0.000664125204738434,0.00701196542410034
"FUN_013510",-1.02300496872036,5.08411597865424,7.25853293383906e-05,0.00101601022802111
"FUN_004001",-1.02074760585529,5.34091570011782,0.000307560625679572,0.00360843484961605
"FUN_007506",-1.01899602597367,10.1342641612015,0.00557299366984867,0.0419507726438222
"FUN_004874",-1.01595404682639,3.78971086536799,2.47282340887325e-05,0.000393817377380382
"FUN_015037",-1.01588017007396,6.83702640525838,0.00184130129680436,0.0167244789766334
"FUN_015248",-1.01321954511439,5.06286191370628,0.00039004300219435,0.00443452604489326
"FUN_010657",-1.00974095093488,3.28284999029287,0.000307455946061291,0.00360843484961605
"FUN_001665",-1.00966945112482,3.25916019075568,0.000162152750084452,0.00206354666023563
"FUN_007554",-1.00789305506784,5.61798484293681,0.00191908075493995,0.0173073234914961
"FUN_000904",-1.0078092608188,1.85779257709551,0.00126720528555259,0.0122575603133235
"FUN_004776",-1.00642868391581,1.64376752421263,0.00233921328653133,0.0203661566074091
"FUN_010058",-1.00590132860369,3.89917123951481,0.000217119895719414,0.00266261794965699
"FUN_013480",-1.00405890615682,4.12581792471434,0.000128216535904579,0.00168084659400364
"FUN_016312",-1.00073050340671,2.78679411786752,0.0048402983009771,0.0373030168827284
"FUN_003003",-1.00070476768316,5.13921613388763,0.000711363203510961,0.0074052551116119
"FUN_013023",-0.995490005888274,6.41465196141856,0.00681776449516184,0.0496276815805902
"FUN_005943",-0.99343670648782,3.01908662204562,0.00144926917202046,0.0136980381261694
"FUN_002324",-0.992505197243108,5.52727054886373,0.000688896457919147,0.00722139971202373
"FUN_003556",-0.991562696736593,4.37517363033539,0.000193322257324022,0.0024046728636745
"FUN_005754",-0.991100436651258,1.62664422123379,0.0015697043852548,0.0146272735020558
"FUN_015087",-0.990898633124556,4.12441007068764,2.84782507661535e-05,0.000442872966524255
"FUN_010809",-0.98753559730191,5.99633594056665,0.00238862314350543,0.0207386182695841
"FUN_005638",-0.985828011132031,4.72363546140032,0.00078073500761069,0.00804692493181709
"FUN_013248",-0.985298524451041,2.76778362966682,0.002470034780828,0.0213334090709863
"FUN_013142",-0.985152638388935,3.33569121609375,0.00116988337994248,0.011429871249308
"FUN_006737",-0.982970827506272,3.3591920303305,0.000582035186349712,0.00626407790725722
"FUN_004982",-0.981378674415077,2.94829705902807,0.00328721699673062,0.027055996479979
"FUN_012021",-0.979971802262487,1.33700353026289,0.00138897453170826,0.013257008073712
"FUN_012723",-0.9794331862443,4.75767014851227,0.00144118738636808,0.0136372459553811
"FUN_002990",-0.977051383776275,3.37871049452336,0.000152008867773273,0.00194644352684739
"FUN_011012",-0.976685649789306,3.74965744621605,0.000176194175094267,0.00221495506348542
"FUN_007223",-0.97547912502614,5.92933965731628,0.00237240347187675,0.0206295326197942
"FUN_015625",-0.974400459899797,4.75005284645584,6.66743794919925e-05,0.000943659389881958
"FUN_005793",-0.973140579599965,7.64548814147404,0.00662946464185026,0.0484120729035752
"FUN_013340",-0.971399807779745,3.80900685649451,0.000103091797690495,0.00138441146029373
"FUN_002005",-0.9713096816165,3.84240702958837,0.0001504168591595,0.00192755123935325
"FUN_007753",-0.969877538115501,5.61531719413884,0.00108428165065282,0.010733089800564
"FUN_001920",-0.969054677250612,3.68534517552998,0.000913131725494153,0.00919864750404865
"FUN_007311",-0.968761169582582,4.50717061306637,0.000135494761487736,0.00176645418150927
"FUN_015215",-0.96785417317337,2.62639863905192,0.00629774950020045,0.0464923175877134
"FUN_015781",-0.96460755783782,3.7272984364554,0.00433567305228842,0.0341137606984197
"FUN_008458",-0.955816880838043,4.78961941989206,8.1324205732474e-05,0.00111937589089386
"FUN_005542",-0.954655676977009,4.18088717570821,0.00240337105248793,0.0208557096423507
"FUN_015430",-0.953827139600407,4.58103199947247,0.000546308284612025,0.00592198180519435
"FUN_004703",-0.953374344563012,3.56702894742967,0.000337512260708239,0.00390441930144709
"FUN_016026",-0.953180141097624,3.08298896829471,0.000791232165153364,0.00813730502364971
"FUN_005090",-0.952548583642814,7.07549689921226,0.00504422646745922,0.0384799758807422
"FUN_012712",-0.951772677364536,5.29914091243452,0.00285530973250927,0.0240454025410651
"FUN_009411",-0.951240287915212,3.84829708788303,0.000184833894327691,0.00231651941404932
"FUN_003132",-0.949991846608291,3.40844244449567,0.000448671798226146,0.00501788971394977
"FUN_014840",-0.949094910202628,2.57616097648434,0.00216030727747524,0.019046421122103
"FUN_001475",-0.948469739326403,6.076945281506,0.00413430758105539,0.0327947402218938
"FUN_012647",-0.948389307464608,3.19965524821415,0.000879917422731241,0.00893483717148044
"FUN_008206",-0.946438576788273,5.79294176119368,0.00179536919021637,0.0163522028008082
"FUN_012963",-0.945060263380694,1.56473932620949,0.00311947935770618,0.0258478049677182
"FUN_008447",-0.944551547994737,7.72212067124034,0.00343208569009094,0.027990038748344
"FUN_007304",-0.943465584677231,4.09557770863274,0.000114357062302942,0.00151842296942164
"FUN_002148",-0.940366648211168,4.28651773855206,8.65597484437545e-05,0.0011796530927648
"FUN_004870",-0.938995385927374,4.63148277994935,8.14427784414302e-05,0.00112007534976313
"FUN_000697",-0.937332084351163,2.92987742918357,0.00105658276903986,0.0104903121651639
"FUN_001744",-0.93653509817197,1.43050641388224,0.00539797785781399,0.0408019990706553
"FUN_013492",-0.935851219530957,2.43795148962981,0.00456025432947274,0.0355424631402706
"FUN_007842",-0.935172889691231,4.63167691403179,0.0062538246510999,0.0462145620506627
"FUN_012510",-0.934921803943175,6.70238052001891,0.00293437455505474,0.0245610864656253
"FUN_008051",-0.930854135411764,4.19019772922332,8.29907458175203e-05,0.00113852283743521
"FUN_005525",-0.930070702730554,5.19220737101091,0.00245019072016598,0.0211841541815187
"FUN_016144",-0.929973599659606,5.30581049620406,0.00115737902080177,0.0113344979815605
"FUN_015691",-0.928417618262296,3.34135105690473,0.00219248761626708,0.0193095433055467
"FUN_003700",-0.927934650496927,1.96880697364144,0.002528945811085,0.0217399912652346
"FUN_015035",-0.926115511022571,7.92636404756762,0.00578004474181703,0.0433136535027096
"FUN_003576",-0.924773702593152,1.93403682926349,0.0067065016622532,0.0489039166205151
"FUN_008682",-0.923881096554075,3.83013334054406,0.000791217919048592,0.00813730502364971
"FUN_006772",-0.921837471739178,4.22217957892476,0.00200313331317683,0.0178993496216898
"FUN_005978",-0.921307407703767,3.19067745887519,0.00257213230653133,0.0220653446597143
"FUN_016333",-0.92108358660021,1.41267716755454,0.00454274032797085,0.0354561097080671
"FUN_013914",-0.921043852207522,3.32639309564841,0.00243944357553705,0.0211354516494774
"FUN_015752",-0.919694069231749,2.08329710572779,0.00187124913098395,0.0169592211536708
"FUN_009898",-0.919288219577827,4.36723632123853,0.00202248562441979,0.018052759102205
"FUN_012451",-0.918843876467119,4.93041946475976,0.00154351467537841,0.0144157294342828
"FUN_011998",-0.917312495299341,4.23217767189734,0.00114348876826583,0.011245099838312
"FUN_005295",-0.916399983679439,5.00693804743608,0.000944367852472295,0.00948441371155499
"FUN_006458",-0.915935263466961,4.37266757075346,0.000392767321139575,0.00445936578692192
"FUN_013512",-0.915576157484385,5.32923615939372,0.00294496571188339,0.0246247992833305
"FUN_006378",-0.915143372711539,1.39589751625461,0.00291015912367045,0.0244202235905564
"FUN_009895",-0.913412366310078,6.8830266885548,0.00437174919587935,0.0343485674700958
"FUN_000905",-0.91219226662345,1.6391934898256,0.00496232649374766,0.03801307658394
"FUN_007984",-0.912096002711274,1.79511780005714,0.00293177604454214,0.0245517678785847
"FUN_015921",-0.909917402278838,3.16458923110693,0.0042182949489921,0.0333314999371407
"FUN_009608",-0.908853349062681,4.77815749922512,0.00107312142590444,0.0106417338282101
"FUN_001732",-0.907125893082657,3.67712062911962,0.000327977812545259,0.00380744467639444
"FUN_003781",-0.906980560421695,4.43483377111109,9.12394513340124e-05,0.00123528203931413
