"GeneID","logFC","meanExpr","pval","adj.pval"
"FUN_006745","2.36618376208739",143.03218177013,4.96108097282744e-30,3.0665433709241e-27
"FUN_012645","2.30484534340581",744.360490474084,1.28019978712694e-29,7.60881819633562e-27
"FUN_014661","0.893668594902765",1151.04194651609,2.13297012943675e-29,1.22076990408097e-26
"FUN_000344","1.92047411765765",287.484102266625,9.80586995349544e-29,5.41178958540589e-26
"FUN_000887","-9.23491026858404",295.1564103438,1.21586533895703e-28,6.47888520100103e-26
"FUN_005595","1.34500815365655",1044.82715220963,3.51054450479149e-28,1.749949813953e-25
"FUN_012169","1.72466973226163",478.233750406619,3.47020848252852e-28,1.749949813953e-25
"FUN_009171","0.676577592315104",3085.29072675405,9.72923042684814e-28,4.69830618081513e-25
"FUN_000473","1.50439884248881",248.786812999846,4.32145416951573e-27,2.02361912974323e-24
"FUN_009056","4.22370785924274",59.9713435461835,6.67684094068167e-27,3.03462420753982e-24
"FUN_004521","0.99168067794184",2425.32349263674,7.0046540923096e-27,3.09265484824172e-24
"FUN_006770","1.26122329997494",129.26114508304,7.88230140489476e-27,3.38347787805107e-24
"FUN_004788","2.72073799107735",103.288678472426,8.45534189301076e-27,3.43843153349198e-24
"FUN_004789","2.72073799107735",103.288678472426,8.45534189301076e-27,3.43843153349198e-24
"FUN_013170","2.90416654436279",122.565284955435,9.29394156392244e-27,3.68254561505881e-24
"FUN_001857","1.38793132351338",2876.05866554323,1.09140353997892e-26,4.21636472582358e-24
"FUN_002259","2.34148879165157",248.003671170135,1.24446303285784e-26,4.69041152359811e-24
"FUN_006209","-6.88008180161977",160.69819592098,1.73845199480989e-26,6.39626158947555e-24
"FUN_003016","-2.77704273497019",2559.90345768503,7.8026931951806e-26,2.80407018477037e-23
"FUN_009386","1.76711884713306",31857.5845549578,8.88869044290991e-26,3.12174848668834e-23
"FUN_010594","1.87225447296641",1252.0509699692,1.25529742395634e-25,4.31069135386608e-23
"FUN_003017","-2.46957227854267",1393.82704121088,2.80599098727856e-25,9.42629972313382e-23
"FUN_001563","1.62978737545266",1317.81390187691,4.61148433402086e-25,1.51619717901328e-22
"FUN_008022","3.08734268184927",51.7185269325034,8.16725302596044e-25,2.62934502104514e-22
"FUN_002467","-9.13362843012028",1460.79501141472,1.03719407554823e-24,3.27097143866262e-22
"FUN_006034","-1.46625592768633",2747.67875331876,1.16076620838153e-24,3.58746404362395e-22
"FUN_006187","-4.43197660891831",5420.24521462895,2.18531931010849e-24,6.62151750962872e-22
"FUN_012629","4.10261341500279",165.840201529271,2.47987203869406e-24,7.36951204114216e-22
"FUN_001926","-1.01696020218316",1592.87261540301,2.61391237002445e-24,7.62128072716752e-22
"FUN_008302","1.52793276219941",1398.91262278232,2.69311680815276e-24,7.70680259933047e-22
"FUN_008006","-1.62597423712456",229.604006686069,2.97462798546875e-24,8.35762295626337e-22
"FUN_011854","-5.9445616337046",82.6458190596504,5.15485336089095e-24,1.42246337474728e-21
"FUN_006173","4.46409357790013",241.854246908123,5.51767696157429e-24,1.49587126468785e-21
"FUN_012014","-2.49631912971934",634.438579524406,6.23370801771508e-24,1.6608532758233e-21
"FUN_011641","0.925434797362145",1959.01283305338,1.60997506414482e-23,4.21677028241184e-21
"FUN_009349","2.00823917529343",2330.18209364684,2.21109255802544e-23,5.69466888319452e-21
"FUN_000038","1.26604160999852",825.133721617811,2.31100741372648e-23,5.85442583021561e-21
"FUN_016443","2.7964696974903",434.536207369832,2.81812475387482e-23,7.02394868090767e-21
"FUN_014390","2.37114055342604",121.995570874473,3.5585485964516e-23,8.72861134301058e-21
"FUN_010950","2.0515001621551",2878.48429479099,3.9075549211637e-23,9.43491346824104e-21
"FUN_008871","3.40312313510754",973.908936956216,4.67226136628552e-23,1.11077622912631e-20
"FUN_007232","2.54199436047412",3001.7956802824,5.35879236484167e-23,1.25468815778634e-20
"FUN_010759","-3.3534557070691",181.099318466442,7.37811180186846e-23,1.70170092051154e-20
"FUN_007611","1.44375265076174",620.271059609129,1.37047204300571e-22,3.11439771773047e-20
"FUN_009385","1.30223612613818",1246.47626638513,1.61075105686855e-22,3.6073820408391e-20
"FUN_014848","3.29959705320909",361.25003540624,1.63651525751807e-22,3.6127243249181e-20
"FUN_001618","3.72931064434084",1272.85726399545,1.72682582893824e-22,3.75839993444826e-20
"FUN_003300","-3.72508118908423",466.199037287176,1.84171109778125e-22,3.952772443613e-20
"FUN_000463","4.97019316038742",178.148395617021,2.32188079529884e-22,4.84865188239906e-20
"FUN_008868","-3.10442883490844",1726.81063852818,2.31139300781216e-22,4.84865188239906e-20
"FUN_001295","2.9927041270737",227.573177148717,2.80366731257076e-22,5.77667613082079e-20
"FUN_011892","1.74333349748963",459.601299138272,3.36189059188913e-22,6.83569675216616e-20
"FUN_001495","0.993146181509051",314.04245892848,4.10597528358184e-22,8.24021247495976e-20
"FUN_015615","-1.33663656161488",300.315077667172,7.48409638055559e-22,1.48271463293238e-19
"FUN_013013","2.23670300721164",646.26556258176,9.56813996497065e-22,1.87160084656571e-19
"FUN_012956","2.41955613687084",114.94344572391,1.23574382607435e-21,2.38699366804088e-19
"FUN_003255","1.22503556532135",160.593666480741,1.44382321484588e-21,2.75449384432265e-19
"FUN_000674","2.99138331522673",557.486828106966,1.57404451120655e-21,2.90994256145459e-19
"FUN_002059","-3.3711518000364",286.058207133726,1.55650740269787e-21,2.90994256145459e-19
"FUN_012157","-4.00641101161434",774.259937698618,1.58179754845134e-21,2.90994256145459e-19
"FUN_015995","1.91517015943723",210.791768629107,2.18186010802374e-21,3.96662167638716e-19
"FUN_002485","-8.18348239502913",865.367764491964,2.50966100747801e-21,4.4576771894894e-19
