"","logFC","logCPM","PValue","FDR"
"FUN_002089",-3.66977957848906,9.00881504844154,0.00167697312075114,0.0148990593545724
"FUN_003240",-3.66054228520729,2.41610314562128,0.00132479079074093,0.0122228150333238
"FUN_001631",-3.65035213659907,1.68316518761596,2.18525472084886e-06,5.12572441517243e-05
"FUN_011811",-3.6344786433024,7.62038372723432,1.62274271234346e-09,9.6659950773406e-08
"FUN_013729",-3.61497295053121,0.713437389310082,1.10026277394869e-05,0.000198970289387445
"FUN_002102",-3.60279037948174,4.82279099680767,2.98476517209673e-05,0.000468084247139095
"FUN_013727",-3.59311304880602,0.558082691628704,7.74965122526794e-06,0.000149287962113991
"FUN_008829",-3.58607409337567,4.86964123080411,2.38020864317228e-11,2.214083122118e-09
"FUN_012685",-3.5777880177657,3.79867795601517,0.00632042240399641,0.0444754697765157
"FUN_008818",-3.57652038856887,4.21829438909778,0.000120126617697573,0.00154932535133024
"FUN_015180",-3.562267937984,-1.11736332972288,3.46105457576537e-06,7.49674357152623e-05
"FUN_000822",-3.53335707704791,5.40872594456463,7.6186038552941e-17,2.35155133997157e-14
"FUN_015800",-3.51443464814604,6.61385233671824,1.04044984866642e-10,8.2633622191454e-09
"FUN_008134",-3.50466098255871,5.28567003672402,1.24029564967086e-05,0.000219901504153785
"FUN_010329",-3.48722894281255,4.75550128915036,0.000904168091431489,0.00888531609966067
"FUN_004881",-3.45343882471923,4.73962604184166,2.14602633291713e-16,6.07191325569739e-14
"FUN_000577",-3.45224680088712,-0.343070101742846,4.16302873444344e-05,0.000627503809572434
"FUN_012625",-3.44415360330586,10.2164584946345,3.99825525791552e-07,1.16524258922212e-05
"FUN_008876",-3.43739679441329,6.31726422134874,1.57956957712424e-11,1.52142797354073e-09
"FUN_009599",-3.43480023585819,3.73891400885966,0.00032659269367987,0.00366869757888033
"FUN_003218",-3.42245636597597,5.93272158563238,0.000120663190800518,0.00155458535726517
"FUN_003219",-3.40641598803,6.80688387797208,0.00087121547057826,0.00863647978534552
"FUN_016260",-3.39301699240843,-1.83148609783624,0.000557435673625757,0.00590064994817724
"FUN_010409",-3.38740600408679,8.52285536218847,0.00346868269886792,0.0271987180908344
"FUN_013240",-3.38635396651109,7.60301095062343,4.89295632977125e-05,0.000716841854526682
"FUN_006584",-3.35893744864799,4.37471547197479,1.29931037376159e-23,1.35737955277355e-20
"FUN_015435",-3.35798795694759,-0.555947657455742,5.45326655658048e-05,0.000789560907301913
"FUN_006137",-3.35068325632687,0.455649324525133,0.00131718440472631,0.0121691710208082
"FUN_015395",-3.33401450764418,1.10803621131527,0.0013154526620588,0.0121614449308513
