gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_008243,581,710,652,666,984,713,642,992,735,1091
FUN_008244,62,173,70,79,184,123,109,140,109,188
FUN_008245,278,254,261,267,747,699,311,712,540,746
FUN_008246,181,203,213,194,313,275,210,335,264,405
FUN_008247,265,412,351,352,453,405,376,371,327,398
FUN_008248,14,21,30,22,48,46,44,51,23,40
FUN_008249,177,248,228,140,1088,1185,617,1480,824,1693
FUN_008250,244,236,198,216,428,447,271,464,394,545
FUN_008251,67,86,43,69,125,103,83,100,141,136
FUN_008252,1077,1159,543,953,2132,1688,1380,2184,1807,2355
FUN_008253,684,861,517,493,1275,950,949,956,901,1243
FUN_008254,362,1080,476,449,876,1448,505,1216,1288,1287
FUN_008255,9,22,5,0,19,15,22,13,30,14
FUN_008256,0,10,0,2,35,23,9,27,9,23
FUN_008257,1951,2534,2996,2319,4114,3191,2486,3602,2940,4412
FUN_008258,130,252,198,137,425,320,199,452,314,519
FUN_008259,319,488,441,318,799,688,456,676,605,881
FUN_008260,1139,1464,1364,1252,2263,2032,1491,2172,1848,2435
FUN_008261,90,189,57,218,231,209,168,174,155,300
FUN_008262,110,169,168,149,265,219,136,234,176,259
FUN_008263,955,1304,725,1006,1945,1617,1481,2115,1947,2226
FUN_008264,1863,2359,3388,2718,4510,3236,2474,4357,3019,4099
FUN_008265,706,1031,1107,946,2064,1642,1198,1836,1484,2250
FUN_008266,734,960,501,790,1542,1264,1906,1791,1245,1623
FUN_008267,36,57,16,38,74,72,114,113,62,103
FUN_008268,166,254,118,192,414,288,230,278,270,385
FUN_008269,100,124,118,97,212,136,129,197,182,245
FUN_008270,47168,60019,63565,55737,72680,61036,57504,65588,55482,62646
FUN_008271,228,330,361,291,456,467,264,457,318,462
FUN_008272,21,58,28,22,42,39,33,31,24,48
FUN_008273,456,548,508,550,1003,773,704,918,695,1020
FUN_008274,680,1025,569,1106,633,480,777,434,571,739
FUN_008275,119,164,200,193,233,182,131,208,180,246
FUN_008276,55,52,83,66,101,77,54,65,83,103
FUN_008277,143,252,240,167,482,303,204,464,280,415
FUN_008278,299,520,359,375,584,565,396,565,481,666
FUN_008280,358,423,237,232,502,384,565,517,448,658
FUN_008281,113,121,106,133,271,203,120,213,169,183
FUN_008282,369,540,320,379,854,686,655,747,715,977
FUN_008283,128,199,164,176,299,240,182,238,227,351
FUN_008284,37,51,33,45,49,35,43,51,48,82
FUN_008285,220,298,246,290,345,277,266,284,256,357
FUN_008286,310,316,309,323,444,346,324,519,262,497
FUN_008287,235,458,272,297,1056,429,197,252,258,402
FUN_008288,40,46,53,68,50,22,45,23,35,37
FUN_008289,1115,1520,1161,1356,2472,1711,1658,2516,1871,2503
FUN_008290,520,831,636,424,814,681,510,670,655,842
FUN_008291,384,418,410,437,886,643,571,865,708,937
FUN_008292,117,135,154,166,649,622,313,723,422,710
FUN_008293,121,169,184,185,245,267,181,305,253,369
FUN_008294,1412,1636,1459,1189,3775,3365,2192,4000,3098,4662
FUN_008295,14747,22430,24304,22612,25548,21221,20039,24855,19066,26764
FUN_008296,706,2494,1441,676,1913,2128,1264,2493,2389,3418
FUN_008297,787,1163,1036,1113,1837,1381,1119,1744,1051,1887
FUN_008298,30,167,84,173,588,282,180,387,370,554
FUN_008299,82,158,154,121,151,124,122,196,100,222
FUN_008300,27957,37603,49181,38176,45459,37284,34489,40268,32579,40207
FUN_008301,342,326,290,315,363,278,329,281,176,315
FUN_008302,2437,3304,3187,2768,1955,1299,2240,1424,1384,1853
FUN_008303,6,11,18,13,9,3,12,7,6,8
FUN_008304,1013,1439,457,1352,1596,1386,1452,1583,1379,2386
FUN_008305,0,3,0,10,3,4,5,4,3,3
FUN_008306,145,174,127,160,315,282,220,273,275,380
