,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_012865,0,0,0,0,9,0,0,0,0,0
FUN_012864,0,0,0,0,0,0,0,0,0,0
FUN_012867,8,10,13,0,16,4,9,14,3,40
FUN_012866,518,839,585,730,1042,898,817,1144,1031,1447
FUN_012869,0,13,7,0,23,18,0,0,0,37
FUN_012868,768,968,508,800,1682,1215,1039,1781,1528,1895
FUN_011987,15,30,24,30,14,11,26,18,12,30
FUN_011986,27,24,25,23,54,105,99,126,114,88
FUN_011985,157,199,161,157,427,402,269,434,419,513
FUN_011984,23,55,24,29,52,56,15,79,67,74
FUN_011983,1071,1459,1614,1178,1752,1299,960,1352,1373,1827
FUN_011982,83,119,43,50,727,354,112,528,520,591
FUN_011981,1584,2023,1388,1639,3287,2697,2408,2738,2662,4062
FUN_011980,231,385,446,413,680,442,387,579,533,769
FUN_011989,0,0,0,0,0,0,0,0,0,0
FUN_011988,245,353,255,241,684,581,288,545,395,835
FUN_009858,394,415,111,298,493,539,461,787,601,949
FUN_009859,50,78,98,72,87,120,39,57,60,104
FUN_002808,0,0,0,0,0,0,0,0,0,0
FUN_002809,0,0,0,0,0,0,0,0,0,0
FUN_009850,4,0,3,0,5,0,0,4,3,3
FUN_009851,186,363,336,350,137,185,226,113,112,129
FUN_002800,49,84,64,66,99,54,88,54,76,113
FUN_009853,0,0,0,0,0,0,0,0,0,0
FUN_009854,416,593,615,585,960,775,581,888,662,964
FUN_009855,139,123,120,137,292,211,179,321,243,354
FUN_002804,278,380,308,232,614,500,368,581,588,708
FUN_002805,145,269,232,214,219,169,245,91,130,309
FUN_008189,0,0,0,0,0,0,0,0,0,0
FUN_008188,11,10,0,18,21,19,0,16,26,25
FUN_008185,27,69,37,38,228,200,163,240,252,244
FUN_008184,12,10,7,8,46,20,14,41,28,29
FUN_008187,0,0,0,0,0,0,0,0,0,0
FUN_008186,5,6,0,2,11,12,4,13,5,12
FUN_008181,0,0,0,0,0,0,0,0,0,0
FUN_008180,1654,2240,1397,1813,3436,2865,2236,3133,2692,3968
FUN_008183,7,2,7,0,14,9,6,0,10,10
FUN_008182,10,14,5,5,7,5,0,9,0,12
FUN_029979,361,361,112,173,374,388,602,493,509,734
FUN_029978,26,49,40,35,50,81,18,37,36,39
FUN_029975,5,4,5,0,7,3,9,0,9,19
FUN_029974,188,253,321,249,408,364,260,432,337,400
FUN_029977,0,15,18,26,19,21,14,14,0,21
FUN_029976,1301,1986,2295,1526,2525,2108,1790,2183,1663,2388
FUN_029971,13,6,2,7,7,6,17,21,19,18
FUN_029970,8,16,10,17,21,14,0,4,10,13
FUN_029973,11,21,0,12,13,27,18,11,0,31
FUN_029972,111,146,99,130,114,107,133,155,173,188
FUN_011363,301,496,410,382,675,469,464,679,504,846
FUN_011362,20,18,20,32,22,28,21,40,29,42
FUN_011361,264,386,96,262,325,287,357,328,417,407
FUN_011360,138,156,244,169,242,257,145,237,206,335
FUN_011367,97,130,130,129,147,134,162,130,150,211
FUN_011366,145,118,162,89,219,164,109,130,132,142
FUN_011365,0,0,3,6,0,0,0,0,0,0
FUN_011364,250,305,326,293,715,494,358,574,476,714
FUN_011369,22,91,31,22,45,35,33,35,50,81
FUN_011368,1,0,0,0,0,0,0,0,0,0
FUN_008729,59,107,97,99,92,116,78,55,90,99
FUN_008728,240,311,362,320,562,489,346,504,438,662
