,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_000344-T1,0,0,0,0,0,0,0,0,0,0
FUN_023848-T3,177,203,126,326,512,390,370,295,417,565
FUN_023848-T2,35,257,0,0,0,115,76,0,138,0
FUN_023848-T1,325,277,269,258,591,405,244,853,528,749
FUN_011381-T1,2,0,0,0,0,0,0,0,0,0
FUN_006803-T1,0,0,0,0,0,0,0,0,0,0
FUN_024656-T1,111,187,146,140,227,224,124,186,182,321
FUN_011464-T1,3,0,7,5,13,10,4,2,4,4
FUN_004530-T1,41,43,69,14,118,425,43,63,271,167
FUN_027254-T1,0,0,0,0,0,0,0,0,0,0
FUN_019647-T1,146,207,222,137,285,254,150,222,233,315
FUN_005638-T1,1626,2354,2667,2446,4398,3317,2506,4302,3106,4699
FUN_005738-T1,102,136,190,141,300,258,190,262,267,276
FUN_008080-T1,2,4,4,0,0,0,0,4,6,3
FUN_001687-T1,0,0,0,0,0,0,0,0,0,0
FUN_007522-T1,0,0,0,0,0,0,0,0,0,0
FUN_025643-T1,126,133,120,139,241,251,143,297,189,296
FUN_022595-T1,0,0,0,0,0,0,0,0,0,0
FUN_017826-T1,292,393,460,380,734,597,464,783,546,835
FUN_010194-T1,0,0,0,0,0,0,1,0,0,1
FUN_029923-T1,4583,6134,6680,5022,3315,2961,3940,2498,4084,3353
FUN_015447-T1,88,106,74,83,252,156,147,259,194,256
FUN_009648-T1,6,4,2,0,14,11,5,20,16,22
FUN_011647-T1,82,195,80,111,138,127,129,153,158,215
FUN_002257-T1,2,5,6,5,9,7,4,6,8,16
FUN_001446-T1,0,0,0,0,11,10,0,7,0,10
FUN_030127-T1,1,1,0,2,0,1,1,1,2,3
FUN_020113-T1,3,0,2,6,8,2,2,3,3,3
FUN_024338-T1,243,352,71,189,369,333,276,461,446,671
FUN_025534-T1,3,0,2,0,0,0,0,12,0,8
FUN_027487-T1,0,0,0,0,0,0,0,0,0,0
FUN_015742-T1,452,643,148,356,317,180,584,323,378,464
FUN_012447-T1,83,136,118,158,168,148,150,205,163,226
FUN_014141-T1,1950,2870,2888,2926,4558,3558,2733,4277,3431,4781
FUN_010555-T1,18,29,19,36,48,55,26,75,63,73
FUN_011714-T1,0,0,0,0,0,1,0,0,0,0
FUN_010716-T1,0,0,0,0,2,0,0,0,2,4
FUN_006230-T1,539,822,435,611,1268,932,837,1071,1048,1554
FUN_003658-T1,126,227,142,74,273,290,120,298,404,336
FUN_002319-T2,4,21,16,16,6,6,6,37,51,3
FUN_002319-T1,15,0,0,0,66,67,24,56,52,89
FUN_009087-T1,33,58,47,28,84,77,45,109,72,98
FUN_005684-T1,1,0,0,3,0,0,3,0,1,0
FUN_008973-T1,0,0,0,0,0,1,0,0,0,0
FUN_015700-T1,0,0,0,0,1,0,1,0,0,0
FUN_013969-T1,0,0,0,0,0,0,0,0,0,0
FUN_025557-T1,0,4,0,0,0,0,0,0,0,0
FUN_017103-T1,31,41,43,36,77,25,42,9,1,82
FUN_021286-T1,0,6,0,0,0,2,5,2,4,0
FUN_017868-T1,1812,2620,2696,2393,3748,3008,2507,3767,2668,4009
FUN_022313-T1,0,2,2,0,0,0,0,0,0,0
FUN_003529-T1,0,0,0,0,0,0,0,0,0,0
FUN_008853-T1,717,808,878,783,2012,1463,1180,1962,1500,2038
FUN_029381-T1,0,0,0,0,3,0,3,3,3,5
FUN_009591-T1,0,0,0,0,0,0,0,0,0,0
FUN_018670-T1,0,0,11,0,0,0,0,9,0,0
FUN_007926-T1,474,626,464,458,847,688,571,782,675,916
FUN_030536-T1,13,50,24,47,83,68,27,73,49,73
FUN_021338-T1,0,0,0,0,0,0,0,0,0,0
FUN_019590-T2,0,0,0,0,0,0,0,0,0,0
FUN_002283-T1,0,2,0,0,0,0,5,2,3,3
FUN_019590-T1,224,439,196,321,526,282,284,365,402,535
FUN_023624-T1,124,204,92,144,290,226,147,233,167,330
FUN_027839-T1,0,4,0,0,0,4,0,0,0,0
FUN_027451-T1,151,129,104,55,191,159,117,165,231,257
FUN_027451-T2,33,79,57,30,98,99,54,87,85,94
FUN_024571-T1,215,367,320,222,452,395,280,381,350,633
FUN_022061-T1,348,413,267,391,337,295,470,190,174,379
FUN_028288-T1,0,0,0,4,0,0,0,0,0,0
FUN_007973-T1,0,0,0,0,0,0,0,0,0,0
FUN_009096-T1,0,0,0,0,0,0,0,0,0,0
FUN_014996-T1,1,0,0,0,1,0,0,2,0,0
FUN_005810-T1,8,0,0,0,20,3,0,0,0,0
FUN_004330-T1,152,230,247,178,391,220,265,370,263,449
FUN_018625-T1,1110,1877,1679,1559,2993,2322,1826,2947,2486,3349
FUN_010327-T1,113,119,80,99,239,231,127,207,219,257
FUN_011675-T1,14,17,18,11,21,32,19,21,22,14
FUN_014912-T1,1,9,0,2,9,6,1,7,5,7
FUN_003116-T1,0,0,0,0,0,0,0,0,0,0
FUN_002938-T1,957,1334,1377,1079,1718,1309,1315,1706,1524,1850
FUN_002938-T2,224,351,189,228,460,364,289,419,408,576
FUN_012892-T1,0,0,0,0,0,0,0,0,0,0
FUN_018785-T1,499,864,751,659,1267,1002,771,1259,993,1259
FUN_007705-T1,212,281,223,176,587,392,295,504,461,531
FUN_020855-T1,365,481,388,445,790,696,420,633,536,788
FUN_024493-T1,16,28,13,18,34,19,21,29,38,33
FUN_025936-T1,0,0,0,0,0,0,0,3,2,0
FUN_028585-T1,0,0,0,0,58,35,0,28,28,0
FUN_028585-T2,50,53,39,51,187,226,79,468,269,329
FUN_000707-T1,0,0,0,0,0,0,0,0,0,0
FUN_027799-T1,6,15,9,9,26,31,10,29,23,51
FUN_018319-T1,213,241,140,77,1262,1054,935,1169,1328,1589
FUN_015379-T1,3,3,1,1,1,0,1,0,0,0
FUN_024665-T2,223,187,256,242,455,204,256,232,213,311
FUN_024665-T1,19,100,5,14,3,169,15,197,220,269
